# Derived from GF 0023-2020, 通用规范汉字笔顺规范, published by PRC MOE/SCLW.
# The table reproduces the 8105 codepoints and official sequence/level.
# columns: sequence, char, codepoint, level
0534	灯	U+706F	1
0535	州	U+5DDE	1
0536	汗	U+6C57	1
0537	污	U+6C61	1
0538	江	U+6C5F	1
0539	汛	U+6C5B	1
0540	池	U+6C60	1
0541	汝	U+6C5D	1
0542	汤	U+6C64	1
0543	忙	U+5FD9	1
0544	兴	U+5174	1
0545	宇	U+5B87	1
0546	守	U+5B88	1
0547	宅	U+5B85	1
0548	字	U+5B57	1
0549	安	U+5B89	1
0550	讲	U+8BB2	1
0551	讳	U+8BB3	1
0552	军	U+519B	1
0553	讶	U+8BB6	1
0554	许	U+8BB8	1
0555	讹	U+8BB9	1
0556	论	U+8BBA	1
0557	讼	U+8BBC	1
0558	农	U+519C	1
0559	讽	U+8BBD	1
0560	设	U+8BBE	1
0561	访	U+8BBF	1
0562	诀	U+8BC0	1
0563	寻	U+5BFB	1
0564	那	U+90A3	1
0565	迅	U+8FC5	1
0566	尽	U+5C3D	1
0567	导	U+5BFC	1
0568	异	U+5F02	1
0569	弛	U+5F1B	1
0570	孙	U+5B59	1
0571	阵	U+9635	1
0572	阳	U+9633	1
0573	收	U+6536	1
0574	阶	U+9636	1
0575	阴	U+9634	1
0576	防	U+9632	1
0577	奸	U+5978	1
0578	如	U+5982	1
0579	妇	U+5987	1
0580	妃	U+5983	1
0581	好	U+597D	1
0582	她	U+5979	1
0583	妈	U+5988	1
0584	戏	U+620F	1
0585	羽	U+7FBD	1
0586	观	U+89C2	1
0587	欢	U+6B22	1
0588	买	U+4E70	1
0589	红	U+7EA2	1
0590	驮	U+9A6E	1
0591	纤	U+7EA4	1
0592	驯	U+9A6F	1
0593	约	U+7EA6	1
0594	级	U+7EA7	1
0595	纪	U+7EAA	1
0596	驰	U+9A70	1
0597	纫	U+7EAB	1
0598	巡	U+5DE1	1
0599	寿	U+5BFF	1
0600	弄	U+5F04	1
0601	麦	U+9EA6	1
0602	玖	U+7396	1
0603	玛	U+739B	1
0604	形	U+5F62	1
0605	进	U+8FDB	1
0606	戒	U+6212	1
0607	吞	U+541E	1
0608	远	U+8FDC	1
0609	违	U+8FDD	1
0610	韧	U+97E7	1
0611	运	U+8FD0	1
0612	扶	U+6276	1
0613	抚	U+629A	1
0614	坛	U+575B	1
0615	技	U+6280	1
0616	坏	U+574F	1
0617	抠	U+62A0	1
0618	扰	U+6270	1
0619	扼	U+627C	1
0620	拒	U+62D2	1
0621	找	U+627E	1
0622	批	U+6279	1
0623	址	U+5740	1
0624	扯	U+626F	1
0625	走	U+8D70	1
0626	抄	U+6284	1
0627	贡	U+8D21	1
0628	汞	U+6C5E	1
0629	坝	U+575D	1
0630	攻	U+653B	1
0631	赤	U+8D64	1
0632	折	U+6298	1
0633	抓	U+6293	1
0634	扳	U+6273	1
0635	抡	U+62A1	1
0636	扮	U+626E	1
0637	抢	U+62A2	1
0638	孝	U+5B5D	1
0639	坎	U+574E	1
0640	均	U+5747	1
0641	抑	U+6291	1
0642	抛	U+629B	1
0643	投	U+6295	1
0644	坟	U+575F	1
0645	坑	U+5751	1
0646	抗	U+6297	1
0647	坊	U+574A	1
0648	抖	U+6296	1
0649	护	U+62A4	1
0650	壳	U+58F3	1
0651	志	U+5FD7	1
0652	块	U+5757	1
0653	扭	U+626D	1
0654	声	U+58F0	1
0655	把	U+628A	1
0656	报	U+62A5	1
0657	拟	U+62DF	1
0658	却	U+5374	1
0659	抒	U+6292	1
0660	劫	U+52AB	1
0661	芙	U+8299	1
0662	芜	U+829C	1
0663	苇	U+82C7	1
0664	芽	U+82BD	1
0665	花	U+82B1	1
0666	芹	U+82B9	1
0667	芥	U+82A5	1
0668	芬	U+82AC	1
0669	苍	U+82CD	1
0670	芳	U+82B3	1
0671	严	U+4E25	1
0672	芦	U+82A6	1
0673	芯	U+82AF	1
0674	劳	U+52B3	1
0675	克	U+514B	1
0676	芭	U+82AD	1
0677	苏	U+82CF	1
0678	杆	U+6746	1
0679	杠	U+6760	1
0680	杜	U+675C	1
